"date","contact_id","deal_id","company","owner","contact_created_at","contact_created_at_epoch","last_stage_change_at","last_stage_change_at_epoch","avg_deal_size","initial_purchase_value","initial_purchase_cycle_in_days"
"2016-04-18T18:39:18Z","124354641","18040021","Centre For Permanent Makeup & Tattoo Clinic","Nabil Khan","2016-04-15T22:25:52Z",1460784352000,"2016-04-18T18:39:18Z",1461029958000,1728,1728,2
"2016-06-07T21:07:57Z","105939348","19640390","San Diego Tattoo Supply","Nabil Khan","2015-10-29T20:33:48Z",1446176028000,"2016-06-07T21:07:57Z",1465358877000,1152,1152,222
"2016-06-29T23:18:45Z","86712958","20670642","Natali Products","Nabil Khan","2015-03-24T19:52:08Z",1427251928000,"2016-06-29T23:18:45Z",1467267525000,1467.142857142857,960,463
"2016-07-15T05:43:38Z","134386587","21217406","Jade Electrolysis","Aly Lalani","2016-07-07T21:02:14Z",1467950534000,"2016-07-15T05:43:38Z",1468586618000,1070,720,7
"2016-07-16T23:12:01Z","83219095","21271052","Invisible Ink Tattoo Removers","Nabil Khan","2015-02-20T00:01:24Z",1424419284000,"2016-07-16T23:12:01Z",1468735921000,6971.81625,7920,512
"2016-07-20T19:03:34Z","134330244","21425596","Beauty Depot","Aly Lalani","2016-07-07T17:28:41Z",1467937721000,"2016-07-20T19:03:34Z",1469066614000,2137.4736842105262,1650,13
"2016-07-25T16:01:49Z","134244260","21771308","AP Martin Pharmaceutical Supplies Ltd","Aly Lalani","2016-07-07T00:41:03Z",1467877263000,"2016-07-25T16:01:49Z",1469487709000,5860.41,5860.41,18
"2016-07-29T19:25:20Z","73244695","21944822","Second Skin Removal","Nabil Khan","2014-10-20T18:38:12Z",1413855492000,"2016-07-29T19:25:20Z",1469845520000,1720,1600,648
"2016-08-03T10:48:24Z","134387628","22180986","Sleekbrows","Nabil Khan","2016-07-07T21:19:08Z",1467951548000,"2016-08-03T10:48:24Z",1470246504000,5960.1759999999995,13200,26
"2016-08-05T18:54:17Z","134377653","22304100","EvelineCharles","Aly Lalani","2016-07-07T20:18:24Z",1467947904000,"2016-08-05T18:54:17Z",1470448457000,1500,1500,28
"2016-08-18T22:53:46Z","135839074","21344916","Worldwide Tattoo Canada","Aly Lalani","2016-07-18T21:35:20Z",1468902920000,"2016-08-18T22:53:46Z",1471586026000,1540,1632,31
"2016-09-06T02:09:01Z","134381082","23793296","Hoi Cosmetics Ltd","Nabil Khan","2016-07-07T20:50:57Z",1467949857000,"2016-09-06T02:09:01Z",1473152941000,1202.5,480,60
"2016-09-06T20:03:01Z","139427938","23251957","International Beauty Depot","Nabil Khan","2016-08-24T21:25:30Z",1472099130000,"2016-09-06T20:03:01Z",1473217381000,3840,3840,12
"2016-09-14T19:06:43Z","140115932","24203077","Beauty Distribution MD","Nabil Khan","2016-09-01T20:49:52Z",1472788192000,"2016-09-14T19:06:43Z",1473905203000,1386,480,12
"2016-09-23T22:01:04Z","141517003","24568168","MediSpa Maui","Nabil Khan","2016-09-14T01:37:59Z",1473842279000,"2016-09-23T22:01:04Z",1474693264000,1598.3999999999999,2073.6,9
"2016-10-07T22:58:48Z","134385583","25131930","International Beauty Supplies","Aly Lalani","2016-07-07T21:00:02Z",1467950402000,"2016-10-07T22:58:48Z",1475906328000,1842,720,92
